song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,audio_valence
33,220419,0.00208,0.72,0.917,1.27E-05,1,0.349,-3.304,0.0406,127.011,0.642
1,363967,0.00404,0.49,0.982,0.88,9,0.0556,-4.317,0.109,173.94,0.395
69,264546,0.439,0.508,0.596,9.84E-06,4,0.111,-9.034,0.0334,79.36,0.4
78,302840,0.00076,0.451,0.931,0.0049,9,0.361,-3.871,0.0719,122.961,0.172
38,146666,0.911,0.512,0.256,0,3,0.358,-7.178,0.0305,114.972,0.718
76,191258,0.00124,0.719,0.79,0.0443,11,0.0786,-8.765,0.038,118.017,0.425
69,174320,0.0479,0.832,0.485,0,1,0.111,-4.521,0.086,136.039,0.0721
72,298773,0.0279,0.765,0.29,1.02E-06,4,0.571,-17.117,0.139,92.409,0.506
43,201696,0.117,0.82,0.705,0.00871,0,0.117,-5.096,0.0421,122.026,0.222
12,241800,0.105,0.715,0.825,3.38E-06,7,0.129,-6.759,0.054,126.01,0.646
58,189365,0.849,0.667,0.318,0.00813,1,0.111,-12.666,0.0375,147.851,0.45
83,391376,0.00574,0.579,0.508,0.000494,2,0.0575,-9.484,0.027,147.125,0.609
49,130826,0.583,0.678,0.407,0,3,0.121,-11.037,0.055,97.957,0.641
75,193138,0.0931,0.657,0.685,0.0257,8,0.0922,-5.735,0.0849,164.555,0.407
0,344618,0.114,0.478,0.769,0.906,8,0.098,-9.144,0.141,148.749,0.291
29,228000,0.116,0.659,0.714,0,8,0.789,-5.925,0.299,89.998,0.268
90,203417,0.0169,0.596,0.854,0,7,0.124,-5.114,0.463,120.274,0.152
60,162994,0.203,0.776,0.624,0,0,0.178,-5.478,0.199,77.534,0.57
20,224080,0.435,0.68,0.494,0.302,0,0.141,-8.212,0.0589,130.025,0.273
31,198348,0.0306,0.883,0.793,0.569,10,0.196,-3.776,0.0547,126.011,0.548
35,227864,7.69E-05,0.374,0.971,0,11,0.322,-4.284,0.0697,97.625,0.701
39,138051,0.929,0.521,0.194,0,2,0.0931,-14.412,0.0457,115.392,0.324
